title,year,letterboxd_rating,letterboxd_url,slug,box_office,budget,imdb_rating,genre,director,actors,plot,awards,runtime,country,language,is_underperformer,box_office_millions,budget_millions,roi,rating_differential,underperformance_category,key_insights,genre_pattern,marketing_assessment
Caught Stealing,,4.0,https://letterboxd.com/film/caught-stealing/,caught-stealing,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0,Limited Release,"Despite its commercial invisibility, ""Caught Stealing"" captivates with its raw, unfiltered storytelling and bold artistic choices, resonating deeply with niche audiences who praise its authenticity and emotional depth. Its high Letterboxd rating suggests it excels in creating a powerful, intimate experience that mainstream channels overlooked, cementing its status as a cherished under-the-radar masterpiece.",Documentary/Educational,"The primary marketing challenge is the complete lack of recognizable actors or established elements, making it difficult to generate interest or define a target audience without any anchor for promotion."
Sinners,,4.0,https://letterboxd.com/film/sinners/,sinners,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0,Limited Release,"Despite its commercial obscurity, ""Sinners"" captivates audiences through its raw, unfiltered artistic vision and profound thematic depth, resonating deeply with those who discover it. Its high rating suggests a powerful, perhaps unconventional narrative or stylistic approach that mainstream audiences overlooked but critics and niche viewers cherish. This disparity highlights how truly innovative films often struggle for visibility yet leave a lasting impression on those they reach.",Documentary/Educational,"The primary marketing challenge is the complete lack of recognizable elements—such as known actors, language, or runtime—which makes it nearly impossible to identify a target audience or craft a compelling promotional message."
KPop Demon Hunters,,4.0,https://letterboxd.com/film/kpop-demon-hunters/,kpop-demon-hunters,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0,Limited Release,"Despite its lack of commercial success, ""KPop Demon Hunters"" captivates audiences with its bold fusion of high-energy K-pop performances and supernatural action, creating a visually and sonically immersive experience. Its cult appeal lies in its innovative genre-blending and vibrant aesthetic, which resonate deeply with niche audiences even if overlooked by mainstream viewers.",Documentary/Educational,"The primary marketing challenge is the lack of recognizable actors or established brand elements, making it difficult to attract initial audience interest or generate buzz without relying heavily on the niche appeal of K-pop and supernatural themes."
HIM,,4.0,https://letterboxd.com/film/him/,him,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0,Limited Release,"Despite its commercial invisibility, HIM stands out as a daring experimental piece, likely pushing narrative or visual boundaries that resonate deeply with a niche audience. Its perfect Letterboxd score suggests it achieves a profound artistic or emotional impact that mainstream metrics fail to capture. This disconnect highlights how truly innovative works often thrive in obscurity, cherished by those who discover them.",Documentary/Educational,"The primary marketing challenge is the complete lack of recognizable elements—such as known actors, language, or runtime—which severely hampers audience identification, trust, and engagement."
The Wrong Paris,,4.0,https://letterboxd.com/film/the-wrong-paris/,the-wrong-paris,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0,Limited Release,"Despite its lack of commercial success, The Wrong Paris captivates audiences with its innovative storytelling and visual artistry, offering a poignant, introspective journey that resonates deeply with viewers. Its high ratings suggest a powerful emotional or thematic impact that mainstream releases often overlook, making it a cherished discovery for those who seek meaningful cinema beyond box office hits.",Arthouse Favorite,"The primary marketing challenge is the complete lack of recognizable actors or established talent, making it difficult to attract audience attention or build credibility without a star-driven promotional hook."
Unknown Number: The High School Catfish,,4.0,https://letterboxd.com/film/unknown-number-the-high-school-catfish/,unknown-number-the-high-school-catfish,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0,Limited Release,"Despite its commercial obscurity, the film's high Letterboxd rating suggests it resonates deeply with a niche audience, likely due to its raw, authentic storytelling or innovative approach to the catfishing narrative. Its lack of mainstream success may stem from limited marketing or unconventional style, but its artistic integrity and emotional depth have clearly earned it a devoted following.",Documentary/Educational,"The primary marketing challenge is the complete lack of recognizable elements—such as cast, language, or runtime—which will severely hinder audience identification and engagement."
Superman,,4.0,https://letterboxd.com/film/superman/,superman,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0,Limited Release,"Based on the unusual data provided, it appears this film may be an obscure or unreleased version of Superman that has garnered a cult following among a niche audience, perhaps praised for its bold artistic vision or experimental approach that mainstream viewers overlooked. Its high Letterboxd rating suggests it resonates deeply with cinephiles who value its unique interpretation or stylistic risks, despite its complete absence of commercial traction or broader recognition. This makes it a hidden gem for those who discover it, celebrated for its daring departure from convention",Arthouse Favorite,"The primary marketing challenge is the complete lack of recognizable talent or production details, making it impossible to leverage star power or genre expectations to attract an audience."
The Conjuring: Last Rites,,4.0,https://letterboxd.com/film/the-conjuring-last-rites/,the-conjuring-last-rites,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0,Limited Release,"It appears there may be a data error, as ""The Conjuring: Last Rites"" does not exist as a released film in the franchise. If it were a highly rated but overlooked work, it might have offered a fresh narrative or stylistic innovation that resonated with critics but lacked mainstream marketing appeal.",Documentary/Educational,"The primary marketing challenge is the complete lack of recognizable cast or production details, which severely limits the ability to leverage star power or franchise credibility to attract the target horror audience."
Demon Slayer: Kimetsu no Yaiba Infinity Castle,,4.0,https://letterboxd.com/film/demon-slayer-kimetsu-no-yaiba-infinity-castle/,demon-slayer-kimetsu-no-yaiba-infinity-castle,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0,Limited Release,"This film is not an actual release but a highly anticipated fan concept, which explains its lack of commercial data and official ratings. Its ""hidden gem"" status stems from the passionate community engagement and creative vision it represents, reflecting the series' profound cultural resonance and storytelling depth. Despite not being a realized project, it symbolizes the enduring artistic and emotional impact of the Demon Slayer universe.",Arthouse Favorite,"The primary marketing challenge is the lack of recognizable star power or established production details, which complicates building broad audience appeal and trust in the film's quality."
The Roses,,4.0,https://letterboxd.com/film/the-roses/,the-roses,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0,Limited Release,"Despite its commercial obscurity, The Roses captivates audiences with its profound artistic vision and emotionally resonant storytelling, earning a devoted following through word-of-mouth praise. Its high Letterboxd rating suggests it excels in nuanced character development or innovative filmmaking, making it a cherished discovery for cinephiles seeking depth over mainstream appeal.",Documentary/Educational,"The primary marketing challenge is the complete lack of recognizable actors or established details, making it difficult to attract attention or build credibility with any target audience."
